Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
3.946,0.121,0.000,3.587,0.003,0.297,3.180,0.068,0.532,0.385,2.180,
3.956,0.121,0.000,3.672,0.002,0.293,3.288,0.073,0.524,0.371,2.305,
3.920,0.120,0.000,3.639,0.002,0.297,3.247,0.071,0.526,0.365,2.269,
3.970,0.134,0.000,3.673,0.002,0.291,3.284,0.066,0.524,0.366,2.311,
11.853,0.122,0.000,11.570,0.003,0.295,11.180,0.064,0.569,0.368,10.163,
4.857,0.121,0.000,4.572,0.002,0.295,4.168,0.070,0.529,0.376,3.179,
3.896,0.126,0.000,3.608,0.002,0.294,3.211,0.071,0.573,0.376,2.176,
3.978,0.138,0.000,3.677,0.003,0.335,3.201,0.068,0.523,0.374,2.221,
3.899,0.123,0.000,3.613,0.003,0.295,3.226,0.069,0.534,0.379,2.228,
3.937,0.180,0.000,3.594,0.002,0.296,3.201,0.071,0.536,0.381,2.198,
12.001,0.136,0.000,11.703,0.002,0.295,11.305,0.067,0.527,0.376,10.320,
4.758,0.123,0.000,4.472,0.003,0.295,3.970,0.075,0.538,0.370,2.971,
3.979,0.117,0.000,3.699,0.003,0.296,3.310,0.070,0.527,0.376,2.321,
3.867,0.111,0.000,3.594,0.003,0.294,3.198,0.073,0.608,0.385,2.116,
4.182,0.128,0.000,3.893,0.003,0.336,3.425,0.121,0.664,0.453,2.168,
3.974,0.075,0.000,3.733,0.002,0.306,3.326,0.080,0.537,0.397,2.296,
12.113,0.189,0.000,11.759,0.003,0.301,11.362,0.074,0.542,0.403,10.326,
5.072,0.121,0.000,4.787,0.003,0.375,4.298,0.087,0.589,0.429,3.174,
4.032,0.138,0.000,3.728,0.003,0.346,3.277,0.079,0.611,0.435,2.133,
4.500,0.181,0.000,4.155,0.003,0.339,3.711,0.080,0.647,0.442,2.522,
4.163,0.158,0.000,3.841,0.003,0.323,3.411,0.073,0.585,0.425,2.308,
6.189,0.145,0.000,5.880,0.003,0.322,5.445,0.078,0.573,0.410,4.367,
11.947,0.124,0.000,11.655,0.003,0.321,11.229,0.073,0.578,0.390,10.169,
4.799,0.176,0.000,4.458,0.003,0.301,4.065,0.071,0.579,0.390,3.009,
4.017,0.121,0.000,3.734,0.003,0.297,3.339,0.071,0.529,0.379,2.343,
4.140,0.120,0.000,3.858,0.002,0.296,3.420,0.066,0.537,0.380,2.421,
3.879,0.121,0.000,3.595,0.003,0.295,3.207,0.065,0.528,0.411,2.189,
3.935,0.125,0.000,3.648,0.003,0.294,3.253,0.064,0.606,0.382,2.186,
11.956,0.122,0.000,11.672,0.003,0.334,11.243,0.068,0.532,0.376,10.251,
4.854,0.136,0.000,4.558,0.003,0.334,4.058,0.074,0.597,0.456,2.912,
6.610,0.131,0.000,6.187,0.003,0.318,5.746,0.097,0.578,0.402,4.652,
4.154,0.123,0.000,3.838,0.002,0.298,3.447,0.073,0.526,0.423,2.408,
3.948,0.121,0.000,3.664,0.002,0.293,3.278,0.073,0.526,0.387,2.276,
3.829,0.114,0.000,3.552,0.003,0.295,3.167,0.072,0.530,0.396,2.153,
9.449,0.116,0.000,9.172,0.003,0.331,8.742,0.088,0.583,0.458,7.594,
4.849,0.129,0.000,4.556,0.003,0.340,4.114,0.076,0.602,0.413,3.003,
3.905,0.133,0.000,3.608,0.003,0.339,3.141,0.079,0.689,0.418,1.936,
3.905,0.159,0.000,3.572,0.003,0.305,3.164,0.069,0.540,0.367,2.173,
3.963,0.118,0.000,3.684,0.002,0.294,3.296,0.074,0.528,0.372,2.307,
3.934,0.114,0.000,3.658,0.003,0.293,3.277,0.069,0.528,0.365,2.299,
