Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
2.933,0.148,0.000,2.552,0.004,0.463,1.974,0.067,0.538,0.362,0.990,
2.960,0.144,0.000,2.581,0.004,0.483,1.982,0.072,0.534,0.358,1.000,
11.478,0.135,0.000,11.109,0.004,0.467,10.527,0.068,0.535,0.357,9.548,
3.686,0.139,0.000,3.310,0.005,0.482,2.716,0.071,0.546,0.403,1.677,
2.875,0.150,0.000,2.489,0.004,0.461,1.913,0.067,0.588,0.355,0.886,
2.918,0.133,0.000,2.551,0.004,0.497,1.939,0.067,0.542,0.399,0.912,
3.009,0.137,0.000,2.639,0.004,0.462,2.066,0.072,0.539,0.247,1.190,
2.731,0.142,0.000,2.355,0.004,0.481,1.767,0.074,0.541,0.451,0.685,
3.062,0.100,0.000,2.748,0.004,0.414,2.242,0.048,0.422,0.215,1.542,
11.476,0.206,0.000,11.038,0.004,0.476,10.454,0.073,0.538,0.467,9.358,
3.575,0.150,0.000,3.189,0.005,0.468,2.600,0.072,0.537,0.374,1.600,
2.998,0.156,0.000,2.631,0.005,0.495,2.022,0.089,0.609,0.554,0.748,
2.963,0.142,0.000,2.584,0.005,0.489,1.983,0.072,0.556,0.375,0.962,
2.894,0.143,0.000,2.514,0.004,0.463,1.934,0.068,0.537,0.369,0.944,
3.092,0.136,0.000,2.722,0.004,0.485,2.135,0.069,0.541,0.370,1.139,
2.835,0.150,0.000,2.468,0.004,0.407,1.982,0.055,0.441,0.218,1.255,
11.648,0.121,0.000,11.294,0.004,0.394,10.823,0.044,0.387,0.304,10.078,
3.681,0.135,0.000,3.311,0.004,0.493,2.708,0.072,0.544,0.544,1.531,
2.875,0.143,0.000,2.496,0.004,0.462,1.920,0.068,0.546,0.419,0.870,
2.933,0.143,0.000,2.556,0.005,0.470,1.969,0.072,0.543,0.366,0.969,
2.939,0.190,0.000,2.514,0.004,0.466,1.940,0.077,0.540,0.372,0.934,
2.776,0.194,0.000,2.348,0.004,0.469,1.771,0.074,0.541,0.370,0.770,
2.904,0.138,0.000,2.555,0.004,0.412,2.065,0.047,0.418,0.208,1.379,
10.922,0.091,0.000,10.629,0.004,0.419,10.130,0.043,0.388,0.302,9.384,
3.061,0.141,0.000,2.686,0.004,0.483,2.098,0.067,0.531,0.471,1.011,
2.689,0.098,0.000,2.377,0.004,0.406,1.886,0.042,0.436,0.205,1.189,
2.558,0.132,0.000,2.193,0.004,0.498,1.590,0.068,0.536,0.459,0.511,
2.575,0.141,0.000,2.202,0.004,0.458,1.638,0.061,0.568,0.362,0.630,
2.550,0.130,0.000,2.188,0.004,0.464,1.617,0.064,0.528,0.351,0.656,
2.596,0.138,0.000,2.227,0.004,0.458,1.660,0.064,0.558,0.354,0.668,
2.405,0.166,0.000,1.972,0.004,0.478,1.395,0.066,0.527,0.360,0.427,
2.777,0.102,0.000,2.465,0.004,0.398,1.983,0.050,0.490,0.206,1.225,
2.573,0.131,0.000,2.209,0.005,0.489,1.610,0.071,0.534,0.503,0.484,
2.410,0.133,0.000,2.042,0.004,0.460,1.475,0.066,0.535,0.359,0.498,
2.554,0.154,0.000,2.187,0.005,0.432,1.674,0.049,0.433,0.205,0.973,
2.774,0.090,0.000,2.482,0.004,0.386,2.019,0.043,0.379,0.297,1.267,
10.042,0.130,0.000,9.679,0.004,0.488,9.079,0.072,0.603,0.464,7.923,
3.179,0.154,0.000,2.791,0.004,0.481,2.207,0.062,0.606,0.366,1.155,
2.595,0.139,0.000,2.223,0.004,0.459,1.660,0.065,0.573,0.371,0.634,
2.560,0.137,0.000,2.190,0.004,0.477,1.609,0.064,0.538,0.363,0.626,
2.408,0.131,0.000,2.044,0.004,0.461,1.482,0.061,0.537,0.355,0.513,
2.740,0.120,0.000,2.411,0.004,0.448,1.880,0.044,0.421,0.198,1.205,
2.614,0.136,0.000,2.244,0.004,0.463,1.678,0.068,0.610,0.463,0.520,
10.126,0.143,0.000,9.751,0.004,0.483,9.161,0.066,0.530,0.418,8.129,
3.185,0.142,0.000,2.809,0.004,0.466,2.234,0.066,0.538,0.412,1.201,
2.606,0.133,0.000,2.240,0.004,0.491,1.643,0.063,0.531,0.397,0.635,
2.385,0.131,0.000,2.022,0.004,0.459,1.463,0.064,0.538,0.363,0.481,
2.767,0.098,0.000,2.428,0.005,0.440,1.902,0.047,0.426,0.204,1.210,
2.833,0.130,0.000,2.472,0.004,0.536,1.793,0.067,0.530,0.472,0.706,
2.417,0.144,0.000,2.020,0.004,0.460,1.456,0.067,0.605,0.368,0.399,
2.414,0.134,0.000,2.048,0.004,0.459,1.488,0.068,0.530,0.358,0.515,
10.246,0.102,0.000,9.931,0.004,0.408,9.433,0.044,0.436,0.199,8.740,
3.010,0.136,0.000,2.640,0.004,0.492,2.048,0.067,0.535,0.461,0.969,
2.706,0.104,0.000,2.387,0.004,0.411,1.889,0.046,0.437,0.199,1.194,
2.602,0.141,0.000,2.229,0.004,0.499,1.622,0.070,0.529,0.457,0.549,
2.580,0.142,0.000,2.202,0.004,0.460,1.634,0.065,0.607,0.367,0.577,
2.493,0.143,0.000,2.116,0.004,0.497,1.506,0.067,0.528,0.364,0.528,
2.477,0.180,0.000,2.087,0.004,0.488,1.495,0.077,0.610,0.399,0.390,
10.135,0.162,0.000,9.748,0.004,0.463,9.174,0.232,0.582,0.427,7.909,
3.107,0.138,0.000,2.657,0.004,0.492,2.067,0.076,0.547,0.365,1.061,
2.652,0.105,0.000,2.330,0.004,0.448,1.797,0.055,0.475,0.220,1.033,
2.820,0.069,0.000,2.541,0.004,0.416,2.043,0.049,0.467,0.323,1.192,
2.608,0.086,0.000,2.285,0.004,0.470,1.636,0.078,0.603,0.488,0.449,
2.566,0.137,0.000,2.193,0.004,0.472,1.609,0.069,0.544,0.368,0.610,
2.636,0.165,0.000,2.255,0.004,0.413,1.748,0.072,0.440,0.230,0.988,
3.167,0.130,0.000,2.828,0.005,0.798,1.889,0.099,0.547,0.503,0.722,
2.947,0.089,0.000,2.624,0.004,0.493,2.044,0.056,0.444,0.216,1.315,
