Frame,Frame_Start,Frame_User,Frame_End,Frame_End_Debug,Frame_End_Prepare,Frame_End_Render,Frame_End_Render_GetTexture,Frame_End_Render_EncodeCommands,Frame_End_Render_QueueSubmit,Frame_End_Render_Present,
10.055,0.145,0.000,9.697,0.003,1.358,8.213,0.395,4.623,2.702,0.374,
9.688,0.154,0.000,9.325,0.004,1.364,7.831,0.410,4.625,2.302,0.373,
10.283,0.105,0.000,9.964,0.003,1.397,8.432,0.478,4.789,2.634,0.401,
9.763,0.177,0.000,9.377,0.003,1.359,7.900,0.423,4.617,2.382,0.361,
9.932,0.158,0.000,9.565,0.003,1.304,8.129,0.401,4.640,2.561,0.405,
9.704,0.152,0.000,9.337,0.003,1.348,7.871,0.419,4.560,2.412,0.361,
10.351,0.149,0.000,9.992,0.003,1.310,8.547,0.448,4.619,2.901,0.458,
13.246,0.119,0.000,12.938,0.004,1.851,10.942,0.453,7.413,2.544,0.397,
11.266,0.113,0.000,10.967,0.003,2.159,8.647,0.485,4.950,2.714,0.368,
10.109,0.128,0.000,9.761,0.003,1.346,8.285,0.464,4.860,2.427,0.405,
10.496,0.109,0.000,10.169,0.003,1.344,8.690,0.473,4.855,2.800,0.439,
10.084,0.101,0.000,9.766,0.004,1.333,8.294,0.463,4.898,2.448,0.360,
10.117,0.131,0.000,9.783,0.003,1.260,8.380,0.449,4.673,2.705,0.423,
10.057,0.138,0.000,9.704,0.003,1.322,8.262,0.481,4.851,2.431,0.370,
10.541,0.263,0.000,10.060,0.004,1.339,8.596,0.429,4.751,2.891,0.408,
10.067,0.145,0.000,9.704,0.003,1.343,8.226,0.463,4.775,2.461,0.408,
10.522,0.209,0.000,10.098,0.004,1.322,8.640,0.501,4.857,2.815,0.341,
9.907,0.126,0.000,9.569,0.003,1.368,8.070,0.435,4.735,2.422,0.362,
10.241,0.145,0.000,9.880,0.003,1.388,8.344,0.466,4.798,2.561,0.393,
9.988,0.113,0.000,9.659,0.004,1.395,8.144,0.404,4.819,2.455,0.349,
10.158,0.136,0.000,9.813,0.003,1.344,8.342,0.408,4.770,2.643,0.400,
10.005,0.138,0.000,9.655,0.003,1.380,8.144,0.459,4.839,2.365,0.355,
10.243,0.154,0.000,9.873,0.003,1.329,8.415,0.407,4.720,2.751,0.426,
9.961,0.105,0.000,9.640,0.003,1.415,8.087,0.468,4.732,2.361,0.405,
10.258,0.150,0.000,9.895,0.003,1.348,8.426,0.401,4.859,2.661,0.384,
9.916,0.167,0.000,9.533,0.004,1.343,8.057,0.399,4.817,2.338,0.392,
10.353,0.139,0.000,10.000,0.003,1.350,8.516,0.453,4.879,2.678,0.375,
9.804,0.139,0.000,9.418,0.004,1.291,7.983,0.417,4.702,2.387,0.368,
10.244,0.151,0.000,9.877,0.003,1.375,8.362,0.456,4.707,2.661,0.373,
9.899,0.142,0.000,9.519,0.005,1.277,8.113,0.430,4.815,2.370,0.376,
10.653,0.163,0.000,10.243,0.004,1.345,8.753,0.480,4.901,2.777,0.470,
10.181,0.152,0.000,9.811,0.003,1.308,8.365,0.427,4.942,2.499,0.380,
10.395,0.168,0.000,10.013,0.004,1.334,8.560,0.408,4.895,2.758,0.379,
10.152,0.155,0.000,9.784,0.003,1.333,8.330,0.407,4.875,2.543,0.395,
10.370,0.101,0.000,10.055,0.003,1.282,8.630,0.457,4.823,2.840,0.354,
9.885,0.144,0.000,9.533,0.003,1.287,8.098,0.486,4.651,2.421,0.412,
10.238,0.110,0.000,9.913,0.003,1.324,8.454,0.492,4.736,2.692,0.409,
9.796,0.104,0.000,9.477,0.003,1.357,8.001,0.423,4.698,2.404,0.363,
10.181,0.135,0.000,9.836,0.004,1.294,8.405,0.437,4.719,2.730,0.398,
9.946,0.096,0.000,9.642,0.003,1.328,8.180,0.506,4.859,2.356,0.328,
10.293,0.094,0.000,9.989,0.004,1.312,8.544,0.487,4.723,2.839,0.370,
9.708,0.095,0.000,9.400,0.003,1.329,7.938,0.411,4.669,2.380,0.360,
10.117,0.113,0.000,9.788,0.003,1.321,8.350,0.432,4.763,2.674,0.363,
9.826,0.099,0.000,9.517,0.003,1.291,8.091,0.421,4.776,2.383,0.393,
10.241,0.146,0.000,9.880,0.003,1.319,8.413,0.519,4.777,2.576,0.415,
9.988,0.143,0.000,9.632,0.004,1.365,8.121,0.466,4.777,2.376,0.376,
10.327,0.187,0.000,9.920,0.003,1.343,8.440,0.467,4.790,2.635,0.425,
9.821,0.182,0.000,9.424,0.003,1.311,7.997,0.395,4.739,2.395,0.356,
10.167,0.160,0.000,9.799,0.003,1.328,8.342,0.400,4.775,2.638,0.409,
